GATE_LEVEL Output Report:		  

Correct reading!	 TBArray value is=48ebe191	 DOUT value is=48ebe191	 of RADDR =  3	 time is                 2094
Correct reading!	 TBArray value is=7b3e37f6	 DOUT value is=7b3e37f6	 of RADDR =  0	 time is                 2104
Correct reading!	 TBArray value is=257cd14a	 DOUT value is=257cd14a	 of RADDR =  2	 time is                 2114
Correct reading!	 TBArray value is=93b3fa27	 DOUT value is=93b3fa27	 of RADDR =  6	 time is                 2124
Correct reading!	 TBArray value is=c3cb3487	 DOUT value is=c3cb3487	 of RADDR =  4	 time is                 2134
Correct reading!	 TBArray value is=93b3fa27	 DOUT value is=93b3fa27	 of RADDR =  6	 time is                 2144
Correct reading!	 TBArray value is=257cd14a	 DOUT value is=257cd14a	 of RADDR =  2	 time is                 2154
Correct reading!	 TBArray value is=257cd14a	 DOUT value is=257cd14a	 of RADDR =  2	 time is                 2164


				ERROR =          0	 Correct=        100	 time is                 3160

									 +++++  SEEMS GOOD!  +++++
